Year,Quarter,Type_of_application,Category_of_leave,Industry,Applications
2010,2010 Q2,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,3
2010,2010 Q2,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,1
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",11
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Manufacturing,8
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),"Electricity, gas, steam and air conditioning supply",1
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Construction,56
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,55
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Transportation and Storage,5
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,101
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Information and Communications,192
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,2
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Real estate activities,2
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",200
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,165
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,18
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Education,1075
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,225
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",8578
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Other Service Activities,538
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Activities of households as employers; production activities of household for own use,2
2010,2010 Q2,Visa,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,79
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",11
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Mining and Quarrying,64
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Manufacturing,211
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",27
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",4
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Construction,61
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,100
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Transportation and Storage,30
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Accommodation and Food Service Activities,551
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Information and Communications,1047
